,Location,Price_per_sqft,Total_sqft,Area,BHK,Price
1097,3 Bedroom House in Whitefield,"₹ 4,750/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK3 Baths,"₹ 57 L₹ 4,750/sq.ft."
1098,1 Bedroom House in Nelmangala RTO Driving Track,"₹ 5,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,1 BHK1 Bath,"₹ 60 L₹ 5,000/sq.ft."
1099,3 BHK Apartment in Cooke Town,"₹ 12,173/sq.ft.","1,725 sq.ft. (160 sq.m.) Super built-up Area",(160 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 2.1 Cr₹ 12,173/sq.ft."
1100,3 Bedroom House in Bidarahalli,"₹ 5,333/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK2 Baths,"₹ 64 L₹ 5,333/sq.ft."
1101,2 BHK Apartment in Akshayanagara East,"₹ 3,305/sq.ft.","1,180 sq.ft. (110 sq.m.) Super built-up Area",(110 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 39 L₹ 3,305/sq.ft."
1102,Residential land / Plot in Hebbagodi,"₹ 6,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 72 L₹ 6,000/sq.ft."
1103,3 BHK Apartment in Jakkur,"₹ 7,386/sq.ft.","1,760 sq.ft. (164 sq.m.) Super built-up Area",(164 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 7,386/sq.ft."
1104,3 BHK Apartment in Sonnenahalli,"₹ 8,000/sq.ft.","1,650 sq.ft. (153 sq.m.) Super built-up Area",(153 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.32 Cr₹ 8,000/sq.ft."
1105,2 BHK Apartment in Shree Ananth Nagar Layout,"₹ 7,222/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 65 L₹ 7,222/sq.ft."
1106,2 BHK Apartment in Dodda Nekkundi Extension,"₹ 6,745/sq.ft.","1,349 sq.ft. (125 sq.m.) Built-up Area",(125 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 91 L₹ 6,745/sq.ft."
1107,Residential land / Plot in Magadi Road,"₹ 2,916/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 35 L₹ 2,916/sq.ft."
1108,Residential land / Plot in Kachanayakanahalli,"₹ 3,700/sq.ft.","1,000 sq.ft. (93 sq.m.) Plot Area",(93 sq.m.) Plot Area,,"₹ 37 L₹ 3,700/sq.ft."
1109,3 BHK Apartment in HSR Layout,"₹ 12,923/sq.ft.","3,250 sq.ft. (302 sq.m.) Super built-up Area",(302 sq.m.) Super built-up Area,3 BHK4 Baths,"₹ 4.2 Cr₹ 12,923/sq.ft."
1110,14 BHK Independent Builder Floor in Varthur,"₹ 14,505/sq.ft.","1,365 sq.ft. (127 sq.m.) Carpet Area",(127 sq.m.) Carpet Area,14 BHK15 Baths,"₹ 1.98 Cr₹ 14,505/sq.ft."
1111,3 BHK Independent Builder Floor in Kadabagere,₹ 16/sq.ft.,"2,400 sq.ft. (223 sq.m.) Super built-up Area",(223 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 25,000₹ 16/sq.ft."
1112,3 BHK Apartment in ITI Layout,"₹ 8,441/sq.ft.","1,540 sq.ft. (143 sq.m.) Super built-up Area",(143 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 8,441/sq.ft."
1113,2 BHK Apartment in Sector 7,"₹ 6,250/sq.ft.","1,200 sq.ft. (111 sq.m.) Super built-up Area",(111 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 75 L₹ 6,250/sq.ft."
1114,2 BHK Apartment in Basavanapura,"₹ 6,313/sq.ft.","1,188 sq.ft. (110 sq.m.) Super built-up Area",(110 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 75 L₹ 6,313/sq.ft."
1115,Residential land / Plot in Kengeri,"₹ 5,250/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63 L₹ 5,250/sq.ft."
1116,3 Bedroom House in Kathriguppe,"₹ 24,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Plot Area",(93 sq.m.) Plot Area,3 BHK3 Baths,"₹ 2.4 Cr₹ 24,000/sq.ft."
1117,"Residential land / Plot in kengeri,kodipallya","₹ 5,300/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63.6 L₹ 5,300/sq.ft."
1118,Residential land / Plot in Malur,"₹ 2,117/sq.ft.","2,125 sq.ft. (197 sq.m.) Plot Area",(197 sq.m.) Plot Area,,"₹ 45 L₹ 2,117/sq.ft."
1119,3 BHK Apartment in Kanakapura Road,"₹ 6,782/sq.ft.","1,843 sq.ft. (171 sq.m.) Super built-up Area",(171 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.25 Cr₹ 6,782/sq.ft."
1120,Residential land / Plot in Kodipalya,"₹ 5,300/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63.6 L₹ 5,300/sq.ft."
1121,3 Bedroom House in Whitefield,"₹ 4,750/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK3 Baths,"₹ 57 L₹ 4,750/sq.ft."
1122,1 Bedroom House in Nelmangala RTO Driving Track,"₹ 5,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,1 BHK1 Bath,"₹ 60 L₹ 5,000/sq.ft."
1123,3 BHK Apartment in Cooke Town,"₹ 12,173/sq.ft.","1,725 sq.ft. (160 sq.m.) Super built-up Area",(160 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 2.1 Cr₹ 12,173/sq.ft."
1124,3 Bedroom House in Bidarahalli,"₹ 5,333/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK2 Baths,"₹ 64 L₹ 5,333/sq.ft."
